"id","sub_category"
1,steam_cleaner
2,swing
3,toys
4,bottles
5,skates
6,bag
7,bedroom
8,network
9,tools
10,bathroom
11,trainer
12,tablet
13,personal
14,umbrella
15,battery
16,accessories
17,glove
18,snowboard
19,shoes
20,smartphone
21,watering
22,shirt
23,environment
24,stapler
25,ski
26,telephone
27,fmcg
28,audio
29,paper
30,peripherals
31,universal
32,ebooks
33,calculator
34,trousers
35,desktop
36,lawn_mower
38,cultivator
39,costume
40,tshirt
41,components
42,iron
43,carriage
44,diving
45,dolls
46,sock
47,ironing_board
48,tennis
49,kitchen
50,living_room
51,video
52,clocks
53,cartrige
54,sewing_machine
55,notebook
56,bicycle
57,weather_station
58,camera
59,gaming
37,others
